,img,num_gt_pigs,num_gt_heads,num_gt_tails,num_pred_pigs,num_pred_heads,num_pred_tails,num_match_pigs,num_match_heads,num_match_tails
32,32,14,14,14,12,14,8,12,8,4
39,39,14,14,14,12,8,13,12,6,7
0,0,13,13,13,8,4,10,8,2,7
29,29,14,14,14,15,13,12,14,10,11
26,26,12,13,12,12,9,10,11,5,7
4,4,15,15,15,12,7,10,12,2,8
37,37,13,13,13,11,12,5,10,9,4
30,30,13,13,13,9,7,14,8,4,8
35,35,14,14,14,13,13,14,12,10,9
20,20,13,13,12,12,12,6,12,7,6
6,6,12,12,12,10,9,9,9,3,4
27,27,15,15,15,15,7,12,15,6,9
21,21,13,13,13,11,11,10,11,8,9
46,46,15,15,15,12,10,11,11,7,7
40,40,14,14,14,14,11,13,14,9,10
43,43,14,14,14,14,13,13,14,8,11
17,17,11,11,11,10,4,11,9,4,8
27,27,15,15,15,15,7,12,15,6,9
28,28,14,14,14,13,9,11,13,6,11
3,3,14,14,14,12,10,9,12,6,6
2,2,12,13,13,12,12,6,11,9,6
50,50,13,13,11,8,6,9,7,5,6
36,36,13,13,13,10,9,8,9,6,8
15,15,12,12,12,12,11,12,11,10,7
31,31,15,13,15,14,9,10,12,3,4
5,5,14,14,13,13,9,12,13,5,12
38,38,13,13,13,13,11,10,13,6,8
38,38,13,13,13,13,11,10,13,6,8
16,16,7,7,7,6,8,4,6,4,3
4,4,15,15,15,12,7,10,12,2,8
21,21,13,13,13,11,11,10,11,8,9
41,41,12,12,12,11,6,13,11,4,10
41,41,12,12,12,11,6,13,11,4,10
33,33,15,15,15,13,8,11,11,7,10
41,41,12,12,12,11,6,13,11,4,10
13,13,14,14,14,13,10,9,13,4,9
5,5,14,14,13,13,9,12,13,5,12
37,37,13,13,13,11,12,5,10,9,4
37,37,13,13,13,11,12,5,10,9,4
39,39,14,14,14,12,8,13,12,6,7
7,7,12,13,13,10,8,10,10,5,9
24,24,15,15,15,14,9,13,14,7,11
19,19,15,15,15,13,9,10,13,6,6
43,43,14,14,14,14,13,13,14,8,11
29,29,14,14,14,15,13,12,14,10,11
29,29,14,14,14,15,13,12,14,10,11
50,50,13,13,11,8,6,9,7,5,6
21,21,13,13,13,11,11,10,11,8,9
40,40,14,14,14,14,11,13,14,9,10
49,49,15,15,15,14,12,12,14,7,10
